,reg,eta,iterations,C,solver,train_accuracy,test_accuracy,run_time
149,0,0.0001,50,0.0001,SA,0.478279177,0.476829796,9.606434822
150,1,1,10,1,BFGS,0.449466453,0.451566335,11.69677639
151,1,1,10,1,SA,0.615040362,0.619652567,2.406543732
152,1,1,10,0.1,BFGS,0.479097241,0.477695972,26.5021677
153,1,1,10,0.1,SA,0.449466453,0.451566335,2.30542326
154,1,1,10,0.01,BFGS,0.691986574,0.703960348,11.18911529
155,1,1,10,0.01,SA,0.564212071,0.564746644,2.494642019
156,1,1,10,0.001,BFGS,0.69648593,0.709638612,8.590053797
157,1,1,10,0.001,SA,0.550954609,0.552379577,2.303142548
158,1,1,10,0.0001,BFGS,0.696846841,0.709301766,8.491179228
159,1,1,10,0.0001,SA,0.550064362,0.55141716,2.496193647
160,1,1,20,1,BFGS,0.449466453,0.451566335,10.9923377
161,1,1,20,1,SA,0.611082372,0.6148886,4.801923513
162,1,1,20,0.1,BFGS,0.479097241,0.477695972,25.90596056
163,1,1,20,0.1,SA,0.538334757,0.542562918,4.495798826
164,1,1,20,0.01,BFGS,0.735247765,0.744285646,20.40192461
165,1,1,20,0.01,SA,0.451740192,0.454309225,4.308152676
166,1,1,20,0.001,BFGS,0.750526328,0.756893316,12.7063334
167,1,1,20,0.001,SA,0.451836435,0.454309225,4.693164349
168,1,1,20,0.0001,BFGS,0.752270731,0.758625668,12.1029973
169,1,1,20,0.0001,SA,0.451836435,0.454309225,4.410217285
170,1,1,50,1,BFGS,0.449466453,0.451566335,11.80289793
171,1,1,50,1,SA,0.596260963,0.599730523,10.30386567
172,1,1,50,0.1,BFGS,0.479097241,0.477695972,27.59826589
173,1,1,50,0.1,SA,0.550124514,0.555411193,11.00443935
174,1,1,50,0.01,BFGS,0.748312741,0.754342909,28.40577221
175,1,1,50,0.01,SA,0.605921345,0.610124633,10.40309477
176,1,1,50,0.001,BFGS,0.779314991,0.783792888,36.00392747
177,1,1,50,0.001,SA,0.461316362,0.463837159,9.703276634
178,1,1,50,0.0001,BFGS,0.779808236,0.785092151,22.19423985
179,1,1,50,0.0001,SA,0.284794822,0.293393003,10.49906206
180,1,0.1,10,1,BFGS,0.449466453,0.451566335,11.38952088
181,1,0.1,10,1,SA,0.601758839,0.600933545,1.998965263
182,1,0.1,10,0.1,BFGS,0.479097241,0.477695972,27.48961854
183,1,0.1,10,0.1,SA,0.449538636,0.451662576,2.098353386
184,1,0.1,10,0.01,BFGS,0.691986574,0.703960348,11.09689808
185,1,0.1,10,0.01,SA,0.449466453,0.451566335,2.493850946
186,1,0.1,10,0.001,BFGS,0.69648593,0.709638612,8.306813478
187,1,0.1,10,0.001,SA,0.449466453,0.451566335,2.401883602
188,1,0.1,10,0.0001,BFGS,0.696846841,0.709301766,8.490250826
189,1,0.1,10,0.0001,SA,0.449466453,0.451566335,2.097291231
190,1,0.1,20,1,BFGS,0.449466453,0.451566335,11.09764791
191,1,0.1,20,1,SA,0.609638728,0.607093018,4.506360769
192,1,0.1,20,0.1,BFGS,0.479097241,0.477695972,26.79854941
193,1,0.1,20,0.1,SA,0.468426308,0.470574082,4.194731951
194,1,0.1,20,0.01,BFGS,0.735247765,0.744285646,19.59914446
195,1,0.1,20,0.01,SA,0.449983759,0.452047543,4.088079453
196,1,0.1,20,0.001,BFGS,0.750526328,0.756893316,11.79729509
197,1,0.1,20,0.001,SA,0.449755182,0.451758818,4.495296001
198,1,0.1,20,0.0001,BFGS,0.752270731,0.758625668,12.11196327
199,1,0.1,20,0.0001,SA,0.449719091,0.451758818,4.400161266
200,1,0.1,50,1,BFGS,0.449466453,0.451566335,10.99461532
201,1,0.1,50,1,SA,0.609987609,0.60723738,9.793695927
202,1,0.1,50,0.1,BFGS,0.479097241,0.477695972,26.80646467
203,1,0.1,50,0.1,SA,0.576988319,0.582936336,9.804705858
204,1,0.1,50,0.01,BFGS,0.748312741,0.754342909,25.79978418
205,1,0.1,50,0.01,SA,0.485389122,0.488811895,9.596859694
206,1,0.1,50,0.001,BFGS,0.779314991,0.783792888,32.59138942
207,1,0.1,50,0.001,SA,0.475319707,0.478514027,9.294130802
208,1,0.1,50,0.0001,BFGS,0.779808236,0.785092151,22.30006433
209,1,0.1,50,0.0001,SA,0.474261035,0.477744093,9.791469336
210,1,0.01,10,1,BFGS,0.449466453,0.451566335,11.10755777
211,1,0.01,10,1,SA,0.478279177,0.476829796,2.285294056
212,1,0.01,10,0.1,BFGS,0.479097241,0.477695972,26.69818044
213,1,0.01,10,0.1,SA,0.478279177,0.476829796,2.193436861
214,1,0.01,10,0.01,BFGS,0.691986574,0.703960348,11.09401727
215,1,0.01,10,0.01,SA,0.478279177,0.476829796,2.287554264
216,1,0.01,10,0.001,BFGS,0.69648593,0.709638612,7.800434113
217,1,0.01,10,0.001,SA,0.478279177,0.476829796,2.505018711
218,1,0.01,10,0.0001,BFGS,0.696846841,0.709301766,7.994398355
219,1,0.01,10,0.0001,SA,0.478279177,0.476829796,2.299761057
220,1,0.01,20,1,BFGS,0.449466453,0.451566335,11.09358311
221,1,0.01,20,1,SA,0.4787243,0.477214763,3.70446682
222,1,0.01,20,0.1,BFGS,0.479097241,0.477695972,26.79097915
223,1,0.01,20,0.1,SA,0.483199596,0.481641884,4.39859271
