,reg,eta,iterations,C,solver,train_accuracy,test_accuracy,run_time
350,2,0.1,50,1,BFGS,0.478279177,0.476829796,20.09745955
351,2,0.1,50,1,SA,0.478279177,0.476829796,11.50219154
352,2,0.1,50,0.1,BFGS,0.478219025,0.476733555,2.688767433
353,2,0.1,50,0.1,SA,0.478315268,0.476059862,12.39838099
354,2,0.1,50,0.01,BFGS,0.478182934,0.476300467,1.896457911
355,2,0.1,50,0.01,SA,0.478351359,0.476444829,11.81060815
356,2,0.1,50,0.001,BFGS,0.478291207,0.476107983,2.583264828
357,2,0.1,50,0.001,SA,0.478315268,0.476252346,11.59738183
358,2,0.1,50,0.0001,BFGS,0.478219025,0.476156104,2.693127632
359,2,0.1,50,0.0001,SA,0.478363389,0.476156104,12.09421515
360,2,0.01,10,1,BFGS,0.478279177,0.476829796,19.5936954
361,2,0.01,10,1,SA,0.476643047,0.473942544,2.506148338
362,2,0.01,10,0.1,BFGS,0.478219025,0.476733555,2.401136637
363,2,0.01,10,0.1,SA,0.476113711,0.472787643,2.692574978
364,2,0.01,10,0.01,BFGS,0.478182934,0.476300467,2.692115068
365,2,0.01,10,0.01,SA,0.476306197,0.472498917,2.799166203
366,2,0.01,10,0.001,BFGS,0.478291207,0.476107983,2.39131999
367,2,0.01,10,0.001,SA,0.476306197,0.472595159,2.597698689
368,2,0.01,10,0.0001,BFGS,0.478219025,0.476156104,2.607972145
369,2,0.01,10,0.0001,SA,0.476306197,0.472595159,2.408569574
370,2,0.01,20,1,BFGS,0.478279177,0.476829796,21.5885222
371,2,0.01,20,1,SA,0.477785932,0.474568115,4.492282867
372,2,0.01,20,0.1,BFGS,0.478219025,0.476733555,2.304248571
373,2,0.01,20,0.1,SA,0.476871624,0.473701939,4.707217455
374,2,0.01,20,0.01,BFGS,0.478182934,0.476300467,2.606587172
375,2,0.01,20,0.01,SA,0.477015988,0.473028247,4.596074581
376,2,0.01,20,0.001,BFGS,0.478291207,0.476107983,2.402383566
377,2,0.01,20,0.001,SA,0.476895685,0.473076368,5.007050753
378,2,0.01,20,0.0001,BFGS,0.478219025,0.476156104,2.487269402
379,2,0.01,20,0.0001,SA,0.476883654,0.473124489,5.492576838
380,2,0.01,50,1,BFGS,0.478279177,0.476829796,20.69660902
381,2,0.01,50,1,SA,0.478206994,0.476348588,11.09605861
382,2,0.01,50,0.1,BFGS,0.478219025,0.476733555,2.297362804
383,2,0.01,50,0.1,SA,0.477665628,0.475241807,11.99888849
384,2,0.01,50,0.01,BFGS,0.478182934,0.476300467,2.696239948
385,2,0.01,50,0.01,SA,0.477280656,0.474664357,11.4070518
386,2,0.01,50,0.001,BFGS,0.478291207,0.476107983,2.302571297
387,2,0.01,50,0.001,SA,0.477256596,0.474664357,11.09684372
388,2,0.01,50,0.0001,BFGS,0.478219025,0.476156104,2.604038
389,2,0.01,50,0.0001,SA,0.477220505,0.47485684,11.69911337
390,2,0.001,10,1,BFGS,0.478279177,0.476829796,21.89683223
391,2,0.001,10,1,SA,0.476197924,0.472450796,2.497889042
392,2,0.001,10,0.1,BFGS,0.478219025,0.476733555,2.493478537
393,2,0.001,10,0.1,SA,0.476161832,0.472210192,2.497999191
394,2,0.001,10,0.01,BFGS,0.478182934,0.476300467,2.50259614
395,2,0.001,10,0.01,SA,0.476246045,0.472258313,1.903697729
396,2,0.001,10,0.001,BFGS,0.478291207,0.476107983,2.193633556
397,2,0.001,10,0.001,SA,0.476246045,0.472258313,2.796611786
398,2,0.001,10,0.0001,BFGS,0.478219025,0.476156104,2.698206902
399,2,0.001,10,0.0001,SA,0.476246045,0.472258313,2.499150753
400,2,0.001,20,1,BFGS,0.478279177,0.476829796,21.50442553
401,2,0.001,20,1,SA,0.476209954,0.472017708,4.496511221
402,2,0.001,20,0.1,BFGS,0.478219025,0.476733555,2.405887842
403,2,0.001,20,0.1,SA,0.476173863,0.472354555,4.907541752
404,2,0.001,20,0.01,BFGS,0.478182934,0.476300467,2.704170942
405,2,0.001,20,0.01,SA,0.476185893,0.472258313,4.802257061
406,2,0.001,20,0.001,BFGS,0.478291207,0.476107983,2.4929564
407,2,0.001,20,0.001,SA,0.476173863,0.472258313,4.693849087
408,2,0.001,20,0.0001,BFGS,0.478219025,0.476156104,2.694746971
409,2,0.001,20,0.0001,SA,0.476173863,0.472258313,4.594644308
410,2,0.001,50,1,BFGS,0.478279177,0.476829796,19.99736786
411,2,0.001,50,1,SA,0.476691169,0.473076368,11.20424914
412,2,0.001,50,0.1,BFGS,0.478219025,0.476733555,2.499104977
413,2,0.001,50,0.1,SA,0.476017468,0.472498917,11.30177522
414,2,0.001,50,0.01,BFGS,0.478182934,0.476300467,2.312351227
415,2,0.001,50,0.01,SA,0.475969347,0.472162071,11.00494623
416,2,0.001,50,0.001,BFGS,0.478291207,0.476107983,2.402375221
417,2,0.001,50,0.001,SA,0.475981377,0.472210192,10.90268421
418,2,0.001,50,0.0001,BFGS,0.478219025,0.476156104,2.705152512
419,2,0.001,50,0.0001,SA,0.475981377,0.472210192,12.20149398
420,2,0.0001,10,1,BFGS,0.478279177,0.476829796,20.99721694
421,2,0.0001,10,1,SA,0.476197924,0.47211395,2.312620878
422,2,0.0001,10,0.1,BFGS,0.478219025,0.476733555,2.505975962
423,2,0.0001,10,0.1,SA,0.476125741,0.471969588,2.783745289
424,2,0.0001,10,0.01,BFGS,0.478182934,0.476300467,2.692043066
425,2,0.0001,10,0.01,SA,0.476113711,0.471969588,2.388654709
426,2,0.0001,10,0.001,BFGS,0.478291207,0.476107983,2.690257311
427,2,0.0001,10,0.001,SA,0.476113711,0.471969588,2.799979448
428,2,0.0001,10,0.0001,BFGS,0.478219025,0.476156104,2.506751537
429,2,0.0001,10,0.0001,SA,0.476113711,0.471969588,2.401917458
430,2,0.0001,20,1,BFGS,0.478279177,0.476829796,21.29767346
431,2,0.0001,20,1,SA,0.476149802,0.472065829,5.001787663
432,2,0.0001,20,0.1,BFGS,0.478219025,0.476733555,2.399068594
433,2,0.0001,20,0.1,SA,0.476185893,0.472017708,4.498390675
434,2,0.0001,20,0.01,BFGS,0.478182934,0.476300467,2.700477839
435,2,0.0001,20,0.01,SA,0.476173863,0.471969588,4.999504566
436,2,0.0001,20,0.001,BFGS,0.478291207,0.476107983,2.492536545
437,2,0.0001,20,0.001,SA,0.476173863,0.471969588,4.998825312
438,2,0.0001,20,0.0001,BFGS,0.478219025,0.476156104,2.507690668
439,2,0.0001,20,0.0001,SA,0.476173863,0.471969588,4.705679178
440,2,0.0001,50,1,BFGS,0.478279177,0.476829796,21.19994807
441,2,0.0001,50,1,SA,0.476185893,0.472210192,12.19310641
442,2,0.0001,50,0.1,BFGS,0.478219025,0.476733555,2.699101925
443,2,0.0001,50,0.1,SA,0.476185893,0.472065829,10.80072021
444,2,0.0001,50,0.01,BFGS,0.478182934,0.476300467,2.398026943
445,2,0.0001,50,0.01,SA,0.476209954,0.472065829,11.20151448
446,2,0.0001,50,0.001,BFGS,0.478291207,0.476107983,2.59399271
447,2,0.0001,50,0.001,SA,0.476209954,0.472065829,11.49206138
448,2,0.0001,50,0.0001,BFGS,0.478219025,0.476156104,2.612432241
449,2,0.0001,50,0.0001,SA,0.476209954,0.472065829,11.20313454
450,0,1,10,1,SGA,0.42099058,0.424618642,0.078111649
451,0,1,10,0.1,SGA,0.399444197,0.40046196,0.202866793
452,0,1,10,0.01,SGA,0.432467548,0.434579664,0.115516424
453,0,1,10,0.001,SGA,0.375660166,0.370049565,0.116739511
454,0,1,10,0.0001,SGA,0.326203337,0.323997883,0.201708317
455,0,1,20,1,SGA,0.418692781,0.41355084,0.200023413
456,0,1,20,0.1,SGA,0.406830841,0.408498147,0.195889235
457,0,1,20,0.01,SGA,0.401934483,0.400125114,0.19577837
458,0,1,20,0.001,SGA,0.36853819,0.366969828,0.210524559
459,0,1,20,0.0001,SGA,0.337042696,0.337712333,0.287003994
460,0,1,50,1,SGA,0.423649291,0.4289014,0.200769424
461,0,1,50,0.1,SGA,0.440936925,0.438814302,0.201689005
462,0,1,50,0.01,SGA,0.402151029,0.398296521,0.119818211
463,0,1,50,0.001,SGA,0.373759369,0.375872191,0.216805935
464,0,1,50,0.0001,SGA,0.38239717,0.381983543,0.209872484
465,0,0.1,10,1,SGA,0.382914476,0.375583466,0.496277571
466,0,0.1,10,0.1,SGA,0.421507886,0.427554016,0.194666386
467,0,0.1,10,0.01,SGA,0.431637453,0.430345027,0.303215504
468,0,0.1,10,0.001,SGA,0.375756409,0.376834609,0.303202629
469,0,0.1,10,0.0001,SGA,0.313330847,0.31129397,0.204983711
470,0,0.1,20,1,SGA,0.385152124,0.383812136,0.314581156
471,0,0.1,20,0.1,SGA,0.435054076,0.43818873,0.212883949
472,0,0.1,20,0.01,SGA,0.442176052,0.44473317,0.207337141
473,0,0.1,20,0.001,SGA,0.363040314,0.365381839,0.202728748
474,0,0.1,20,0.0001,SGA,0.396653153,0.400269477,0.202437162
475,0,0.1,50,1,SGA,0.40911661,0.407583851,0.288701534
476,0,0.1,50,0.1,SGA,0.402054786,0.402290554,0.213147879
477,0,0.1,50,0.01,SGA,0.459752415,0.458543862,0.389245272
478,0,0.1,50,0.001,SGA,0.462387065,0.466339445,0.309228659
479,0,0.1,50,0.0001,SGA,0.415456612,0.418796016,0.285831928
480,0,0.01,10,1,SGA,0.348820423,0.344016169,0.116584539
481,0,0.01,10,0.1,SGA,0.319201665,0.31730908,0.211211443
482,0,0.01,10,0.01,SGA,0.380809162,0.380780521,0.281251192
483,0,0.01,10,0.001,SGA,0.315869254,0.310379674,0.301003695
484,0,0.01,10,0.0001,SGA,0.306593843,0.305663828,0.382929087
485,0,0.01,20,1,SGA,0.419955969,0.419132862,0.289563656
486,0,0.01,20,0.1,SGA,0.455048543,0.456089697,0.302186251
487,0,0.01,20,0.01,SGA,0.356195036,0.352341081,0.285672188
488,0,0.01,20,0.001,SGA,0.399684804,0.406910158,0.194169283
489,0,0.01,20,0.0001,SGA,0.315989558,0.324719696,0.204708338
490,0,0.01,50,1,SGA,0.403185641,0.39877773,0.291199684
491,0,0.01,50,0.1,SGA,0.452305619,0.452721236,0.110763073
492,0,0.01,50,0.01,SGA,0.426608761,0.42615851,0.2795012
493,0,0.01,50,0.001,SGA,0.407733118,0.412395939,0.194947481
494,0,0.01,50,0.0001,SGA,0.418091262,0.416630576,0.20223403
495,0,0.001,10,1,SGA,0.396400515,0.393484433,0.381161928
496,0,0.001,10,0.1,SGA,0.32927108,0.335739377,0.301249743
497,0,0.001,10,0.01,SGA,0.403859341,0.405177807,0.315396547
498,0,0.001,10,0.001,SGA,0.407528602,0.411144796,0.289006472
499,0,0.001,10,0.0001,SGA,0.333373435,0.33261152,0.195830822
500,0,0.001,20,1,SGA,0.341277384,0.346085366,0.202967882
501,0,0.001,20,0.1,SGA,0.417886746,0.421875752,0.111432314
502,0,0.001,20,0.01,SGA,0.391516187,0.397959675,0.193224192
503,0,0.001,20,0.001,SGA,0.461051694,0.461094269,0.197257757
504,0,0.001,20,0.0001,SGA,0.343214273,0.343198114,0.20260191
505,0,0.001,50,1,SGA,0.461484788,0.461575478,0.219942808
506,0,0.001,50,0.1,SGA,0.364135077,0.363072037,0.401063204
507,0,0.001,50,0.01,SGA,0.329956811,0.327943795,0.202600956
508,0,0.001,50,0.001,SGA,0.456203458,0.458158895,0.192643404
509,0,0.001,50,0.0001,SGA,0.357482285,0.35339974,0.188163996
510,0,0.0001,10,1,SGA,0.36391853,0.361002839,0.190154314
511,0,0.0001,10,0.1,SGA,0.401128448,0.402819884,0.107370138
512,0,0.0001,10,0.01,SGA,0.382938537,0.384245224,0.210025072
513,0,0.0001,10,0.001,SGA,0.325397303,0.329050575,0.285004616
514,0,0.0001,10,0.0001,SGA,0.379112881,0.376016554,0.282670975
515,0,0.0001,20,1,SGA,0.40515862,0.405225928,0.392789364
516,0,0.0001,20,0.1,SGA,0.41404906,0.413695202,0.402817726
517,0,0.0001,20,0.01,SGA,0.404701467,0.403349213,0.395014048
518,0,0.0001,20,0.001,SGA,0.436870662,0.440787258,0.282637358
519,0,0.0001,20,0.0001,SGA,0.422494376,0.423559983,0.303483009
520,0,0.0001,50,1,SGA,0.367708095,0.375198499,0.183761597
521,0,0.0001,50,0.1,SGA,0.350227975,0.354458399,0.200393915
522,0,0.0001,50,0.01,SGA,0.426608761,0.432077378,0.204085112
523,0,0.0001,50,0.001,SGA,0.356928889,0.357923103,0.197898149
524,0,0.0001,50,0.0001,SGA,0.388773264,0.384726433,0.19477725
525,1,1,10,1,SGA,0.295561998,0.286704201,0.195338249
526,1,1,10,0.1,SGA,0.318203145,0.314373707,0.195701838
527,1,1,10,0.01,SGA,0.413351299,0.4070064,0.200122118
528,1,1,10,0.001,SGA,0.413868604,0.418170444,0.192998886
529,1,1,10,0.0001,SGA,0.413026479,0.407968818,0.201210737
